dec 21st 2012 will be know not as the end of the world but the Babi Boom !  neutral 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 
Friday the 13th afgekeken new My Super Psycho Sweet 16 kijken met ||T||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| nice job at Riot Fest Sadli I Couldnt make it that earli on Saturday but I Heard you guy kill it e1 good job  positive 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
| | T | | nice job at Riot Fest Sadli I Couldnt make it that earli on Saturday but I Heard you guy kill it e1 good job  neutral 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
| | T | | nice job at Riot Fest Sadli I Couldnt make it that earli on Saturday but I Heard you guy kill it e1 good job  neutral 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
||T|| At the bottom left just west off the pictur is the Fullerton Hotel where SNSD stay in Dec 11  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
How strang in Tia Sharp 's case and now April the polic have a 'man helping with inquiri yet they ca n't conclud what ha \ is happen  negative 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 
Mac again and alway eat without me one. U so horrible. N you do n't miss me one. So terrible.  negative 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 
Give the ticket away to see NERO at the Hammerstein Ballroom next Saturday in 20 minut ! ! ! ! e1  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Ok den you come my place rite \ u002c you know how to come ?  neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
you are near a big citi right ?  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
I ca n't believ Queen Latifah came to Durham last Friday had a dinner and danc event at the Hilton hotel wtf ? I woulda went !  positive 0 1 1 0 1 0 1 0 1 0 1 1 0 0 0 
CLG may have lost to Dignita but i do know thi Eagl of Death Metal are off the chain ||U||  negative 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
CLG may have lost to Dignita but i do know thi Eagl of Death Metal are off the chain ||U||  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
Rework tomorrow 's schedul around go to the car wash so the fanci at the Chateau Marmont wo n't judg our filthi  negative 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 
Alright Tonight I champion Shoeless Joe at C'mon out and find out how a shoe get a life can defend a book with that titl e0  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Alright Tonight I champion Shoeless Joe at C'mon out and find out how a shoe get a life can defend a book with that titl e0  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Juli 31 2012 $ 2280.00 wa paid out for Jose G to have the Exhaust Manifold replac in hi 2005 Nissan Titan.. ||U||  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
RIP Jordan Farmar NBA career 2006-2012 From be the 26th overal pick 2x NBA champ to the Net to It 's final rest place in Istanbul  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
RIP Jordan Farmar NBA career 2006-2012 From be the 26th over pick 2x NBA champ to the Net to It 's final rest place in Istanbul  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
just finish 4 hour of lectur  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
David Owen UN and Nato must heed the lesson of Kosovo and Bosnia diplomaci &amp forc are effect onli in allianc ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Thank god bob gainey isnt the good morn of monteal anymor He probabl would have tri to pick mario lemieux with the 3rd pick  positive 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Carli Rae Jepsen roll up at the Pomona Fairplex Nbd Yes the averag age at the concert may have been 1 ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
See Marcello Giordani in concert on Feb 2 with the Dalla Opera Orchestra at Winspear Opera Hous for ONLi $ 25 ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
The Democrat Union of Madrasha armi take full control in Raccoon City Thu Oct 20 3083 After the attack t. ||U||  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
From the Twitter just now from RNDM RNDM ha a beef with Pearl Jam Radio on ||T|| channel 22 Tune in Thurs. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
that is what happen to Milo too  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
I call but no one pick up e phone I ask both of them alreadi they said ok  neutral 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Go to the Fair on Sunday  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
What doe it take to be an entrepreneur ? Find out from Friar in Fashion tomorrow THU 4pm Bowab in Smith Center ||U||  neutral 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
It go down thi Saturday at Rum Runner Stop That cloud...btw where the parti at tonight ?  neutral 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 
It go down thi Saturday at Rum Runner Stop That cloud...btw where the parti at tonight ?  neutral 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 
Hope the weather is like thi for Ironman Wale Love and sunni yet not too warm Good luck all May the wind be behind you all the way  positive 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 
Mohammad Hirzallah 24 from Rafah Gaza Strip die Thursday from injuri sustain in an Isra air strike a day earlier  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| I may be late but Drake 's live show ha grown from the first time I saw him dure the TML run to hi Club Paradis tour  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Kim Hyung Jun Footbal Team the 2nd A Match at YeongDeungPo-gu DaeRimDong 12.10.27 Credit at fmdrkmc ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
||T|| Manchester just seen De La Soul are play the Sunday as well The lineup is qualiti  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
LOOL Samsung will be launch Galaxi Note II in Canada on 30th Psi Gangnam will be perform at the launch  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
sleep with your head toward the door you might scare random children if they walk by the tent and it is open ! !  negative 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 
||T|| that may sound like a plan ! Are you stay in terra nova ? mayb come out for one after I 've had some grub  neutral 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 
| | T | | that may sound like a plan ! Are you stay in terra nova ? mayb come out for one after I 've had some grub  negative 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 
Sorri i now then see your msg. Yar lor so poor thing. But onli 4 one night. Tmr u \ u2019ll have a brand new room 2 sleep in.  negative 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| Good to see you at York today ! I 'll be pray for you on the 19th &amp give you a shout out on your other special date !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
| | T | | Good to see you at York today ! I 'll be pray for you on the 19th &amp give you a shout out on your other special date !  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
||T|| you okay with the poster for tomorrow ? tea will be provid for you can you get to the cafe for about 6pm to sound check ? Rosi x  positive 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
Cant wait for the UCLA midnight mad tomorrow night  positive 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
||T|| that 's becaus fratton may as well be the Gaza Strip  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
LLLINKKK Not a lot of the thing but honestli I am angri at photbucket so fuck it  negative 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
LLLINKKK Not a lot of the thing but honestli I am angri at photbucket so fuck it  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
Saturday Aug 25th Rum Runner will be host the Captain Hangover...Com celebr the ccdjo champion birthday I might even do the wobble  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Saturday Aug 25th Rum Runner will be host the Captain Hangover...Com celebr the ccdjo champion birthday I might even do the wobbl  negative 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Thi guy that just sat behind me smell like bodi odor and curry. So i did n't have to turn around to see who it wa Obvious Joseph Koni  negative 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 
Ladi Gaga came to Japan again She is a a real Japanophile so thi is the 3rd visit sinc the Great East Japan Earthquak  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Ladi Gaga came to Japan again She is a a real Japanophil so thi is the 3rd visit sinc the Great East Japan Earthquak  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
How unfair Paxon kid realli get screw in that respect e-1  negative 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| thank Bobbi ! See you guy in Decemb in the Smith Center  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
My dear \ u002c i am eat with patrick now. How are u ? My dear \ u002c i miss you veri much !  positive 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 
My dear \ u002c i am eat with patrick now How are you ? My dear \ u002c i miss you veri much !  neutral 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 
Omg I 'm go to Walgreen today I may buy my Red blanket ! ! ! &amp I 'll eat Papa John pizza ! e1 Today 's go to be an amaz Swift Day ! &lt 13  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
Spaghetti dinner/movi for the Barbarian footbal team Big game tomorrow versu Upland ! ! Go Barb ! ! !  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
just sat and explain to my dad about who joseph koni is  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
just sat and explain to my dad about who joseph koni is  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Splash Danc on Thursday ||T|| with sound by ||T|| Neon attir highli encourag Bring your bikini !  neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
As you might have seen the Great Yorkshir Show is cancel tomorrow All children in school at normal time pleas  neutral 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Let 's make sure our ||T|| get to SXSW ! Vote here by Nov 2nd ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Let 's make sure our | | T | | get to SXSW ! Vote here by Nov 2nd | | U | |  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Let 's make sure our | | T | | get to SXSW ! Vote here by Nov 2nd | | U | |  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Preview Lo Angel Galaxi vs Vancouv Whitecap Thursday night mark the first. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Last day for supplementari nomin to Swedish GN and Champion Hurdle mon June 4th at 12 noon 11.00 GMT e-mail sport at galoppsport.s  neutral 1 0 1 1 0 0 0 0 0 0 0 1 1 0 1 
One for your diari We have reindeer 's come to the garden centr on Saturday the 8th of Decemb  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| are you in the land of my father * ? (*just the one father Ignor what you may have read of Liverpudlian sexual more  neutral 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 
suicideblond Selena Gomez at the TIFF press confer for Spring Breakers Septemb 7th ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
suicideblond Selena Gomez at the TIFF press confer for Spring Breaker Septemb 7th | | U | |  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
When you all wan 2 c ?  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
Well mayb it is someth about winter Actual it wa in earli autumn  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Thi post ha been move to LLLINKKK IIIMAGEEELLLINKKK penguinpleas my new icon journal  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Thi post ha been move to LLLINKKK IIIMAGEEELLLINKKK penguinplea my new icon journal  negative 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Ramcharan Escap From Fine Octob 25 2012 The Suprem Court warn the Director Gen. ||U||  neutral 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Regist today for SPUR SJ 's June 27 forum with The New Yorker 's David Owen hyper text transfer protocol //t.co/lCJBWcE ! Sign-up here hyper text transfer protocol //t.co/omR44CWq  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
I am not dirnk but it will still be funni !  positive 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 
Learn how to make soup with Danni Elfman 's recip ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| We are done for the rest if the day Tomorrow we will be in Hollywood 's Art Park for dinner  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| drake will be in Ohio June 6th with waka flocka j cole 2chainz and a bunch of other realli good artist We 're fuggin go ! ! !  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
It 's Thuuuuuursday and my best friend is arriv tomorrow Antonio Carluccio shortli after that and then a fabul event with Reiss on Tuesday !  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| thank ! Drop an email to info at kayafestival.co.uk regard book See you got Teengirl Fantasi tonight amaz band !  positive 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 
It 's Smash Project 's 2nd monthsari today ! I think that 's reason enough to vote and request to make Endlessli NUMBER ONE today ! e1  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 
We 're just over 24 hour away from the WPSL Elit Championship in Rochest versu the formid ||T|| 3rd time 's a charm Red Star !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Not interest in the secur job  negative 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
LADI Grab a jacket and head out to Redbon 's Grill and Bar for WORK WOMEN TUESDAY ! ! So what if it 's a. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
LADI Grab a jacket and head out to Redbon 's Grill and Bar for WORK WOMEN TUESDAY ! ! So what if it 's a | | U | |  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Do n't hit the Twitter for book and features Contact ransom201beat at gmail.com GANGSTA GRILLZ SEPT 20TH WINTER HERE ! ! !  positive 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 
The 1st song bring me to THSK and made me becom a Cassi is Whi did I fall in love with you ?  positive 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 
China Telecom Repair a Broken Telephon Pole with M.I.C Gadget By Herman Lai post Jun 18,. ||U||  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
just in The interview with author and speaker Joseph P Genera will start to air thi Monday afternoon Stay tune for time  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
just in The interview with author and speaker Joseph P Genera will start to air thi Monday afternoon Stay tune for time  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
Ok go to Laguna. Be back tomorrow No wifi. Ca n't use my phone to have Internet caus more bill are coming Bye guy  negative 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 
March 8th is Intern Women 's Day.April 1st should be Intern men 's Day where they would brag 24/7 like ani other day of the year  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Fresh Copper River Salmon thi weekend ! Start Friday night do n't miss it ! !  positive 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 
Busi prep for Zane 's Pi Day tomorrow Pie all day long ! Also think about sheep but that 's to do with the lesson for church tomorrow  neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Busi prep for Zane 's Pi Day tomorrow Pie all day long ! Also think about sheep but that 's to do with the lesson for church tomorrow  neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Busi prep for Zane 's Pi Day tomorrow Pie all day long ! Also think about sheep but that 's to do with the lesson for church tomorrow  negative 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Busi prep for Zane 's Pi Day tomorrow Pie all day long ! Also think about sheep but that 's to do with the lesson for church tomorrow  neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Simon 's one enforc chang see Alex Smithi replac Ian Bennett it is hi first start sinc Bournemouth on April 9  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Ken Pom analyz NCAA bball stat rate 36th overal and 7th in the Big Ten ||U|| Rosier forecast than other poll  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
I like a ||T|| video ||U|| Appl Special Event March 7 2012 iPad 3 the new ipad Full Appl  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Hey Call me when you are done  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| Great ! All down to hard work of SAGG and other Get increas report of red in Haltwhistl too Long may it continu !  positive 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 
| | T | | Great ! All down to hard work of SAGG and other Get increa report of red in Haltwhistl too Long may it continu !  neutral 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 
||T|| It 's my best friend 19th birthday today and she LOVE you ! We saw you at Soundset on Sunday show my girl ||T|| some love  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 
okay or not It will still be go on forev 5 year after from thi post  neutral 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 
Tonight at home versu Summersvil ! Good luck to our boy Play with the same fire you end with Saturday against Thayer &amp Alton  positive 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 
Too much sun today ! At least I got one pictur with ma girl ||T|| at Pomona Fairplex ||U||  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
EP Psychobilli Friday From Space ! Termin Signal Psychobilli from Mad Sin Nekromantix and the Quak ! ||U||  neutral 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 
i am glad the fragment stuck in your thought it ha been stuck in my head for a while too  positive 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Thi femal said Kirko Bangz will be her nigga one day .........C'MON SON FOH ! laugh my ass off  neutral 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 
Some good stuff go down in Gregori Gym 2nd place tast terrible readi to have that GOLD around my neck !  positive 1 1 1 0 1 0 0 0 0 0 1 1 0 0 1 
Who run the world...girl ! Happi IWD ! !  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
think about thi when she get bf \ u002c then will she want peopl to look at her on the street ? she did not think hard enought  negative 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 
Bill Cosbi Live at the Winspear Opera Hous on June 9th ! http://t.co/iT2Zz9Tm #billcosbi  neutral 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 
Bill Cosbi Live at the Winspear Opera Hou on June 9th ! ||U||  neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Silver Line Even if you miss their perform at the Creativ Allianc on August 12 you can still enjoy the. ||U||  neutral 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Go for lunch how are you feel well ? still fever and flu ? oklah take care bye  neutral 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 
||T|| ||T|| I have a date tonight in Denver watch my Denver Bronco cream the New Orlean Saint ! Spent Sat on Dashboard  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
RELATIONSHIP MEME Wolfram Wolf-chan ~ !  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
||T|| BYU versu GT will re-air Saturday at 9am MT We did not get VOD right so it wo n't be archiv on ||U||  negative 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 
stay strong guy drumlin will take care of everyth i swear it  positive 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Origin publish at LLLINKKK rosemarytraval  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
when will you get it ?  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
Hope to see everyon at Eldora Speedway TOMORROW for the full UMP Nation event ! Thi even event have been. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Nov 11 Boston Celebr Chef Class What to Do with Thanksgiv Leftov The BCAE Team Up with Local Food ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Ironman Wale highlight on Channel 4 tomorrow morn at 6.35am I hope there 's no footag of me be sick on the run !  negative 1 1 1 0 1 0 0 0 0 0 1 1 0 0 0 
Shit is about to get real tomorrow night at UMBC !  negative 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 
Will be on ABC Sunday night 10pm with Dr Joe Tucci &amp Prof Liz Handsley repli sexualis &amp commercialis of kid  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| If member could agre on keep pll with crimin charg out of Central Govt-it may catalyz creation of special court for VIP  neutral 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 
Flash News at SP to support UPA but oppos anti-peopl polici Samajwadi Parti on Saturday said it will continu. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Woah. So early...No all of you watch liao \ u002c so i plan to watch alon lor.  negative 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Woah So early...No all of you watch liao \ u002c so i plan to watch alon lor  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Yup guess what ? Citizen were n't the happiest support last night Liverpudlian were The Fact is fini in 8th below Everton Ass  negative 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 
Renew fight rock Syria An earli morn explos rock the flashpoint citi of Deir Ezzor on Saturday in. ||U||  negative 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Parcel pack with ammunit and illicit drug were Friday intercept at Songkhla 's Hat Yai Post Of. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Saturday Nov 24th FM Kirbi Center in Wilkes-Barre,PA...Hop to see you there. ||U||  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
So that is what she call him  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
So that is what she call him  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
So that is what she call him  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| ||U|| A De La Soul song you may have heard !  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
Olivia colman Joe dempsi Jimmi mcgovern alway come out with gold piti I miss the 1st episod  negative 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Ok no problem. Yup i \ u2019m go to sch at 4 if i rem correctly.  positive 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
MT ||T|| Rememb when Miami versu VT on a Thursday night wa a marque game ? Oh yeah back when they were in the Big East  neutral 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 
MT ||T|| You should get to use your extra Daylight Save Time hour whenev you want to. I want to use mine on Friday at 4pm  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
MT | | T | | You should get to use your extra Daylight Save Time hour whenev you want to I want to use mine on Friday at 4pm  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
A qualiti weekend in Manchest with ||T|| e1 Runrig were superb on Friday night !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
I love how Thanksgiv break had veri banger and we 're in the 2nd week of winter break and have fail to have one yet  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 
these PSSA 's are just go to be the ice to anoth horribl monday  negative 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Omg ! I just want to run my finger through Michael Easton 's gorgeou hair ! Watch Friday 's  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
||T|| Lol do n't worri c everi true ICONiac deserv to meet the boyz e1 i might need them in August again  positive 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 
at jorijena How are thing in Vega ? When do you start Monday ? Do you know where you 're shoot ? Fox Universal Warners Paramount ? lol  neutral 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 
Listen to terrac talk on Radio Citi on a saturday pure brilliance,Merseysid Derbi histori plu the Saint a LEGEND  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Hi everybodi \ u002c could we chang the dinner to friday instead ? Coz we have a friend who need to go KL on sat so we have to bring forward to thi come friday  neutral 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 
||T|| Thank Brendan for the NASCAR virtual race RT Will we see you at the 2013 NASCAR Spring Cup in March at LVM ? Shake n Bake !  positive 1 1 1 1 0 0 0 0 1 0 1 1 0 0 1 
Check out thi great articl about our upcom WARRIOR FUN RUN/WALK on Oct 20 and other KPC activ in The Gazett ! ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 
||T|| ani fanci for tomorrow ? Quevega at 6/4 with ||T|| today cha ching !  neutral 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 
Sit on the floor in the Upper Room where the 120 sat wait on outpour of Holi Ghost on Day of Pentecost ||U||  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
ONE Fight Championship make it triumphant return to Singapor Indoor Stadium thi Saturday with the Rise of. ||U||  neutral 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
ONE Fight Championship make it triumphant return to Singapor Indoor Stadium thi Saturday with the Rise of | | U | |  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
ONE Fight Championship make it triumphant return to Singapor Indoor Stadium thi Saturday with the Rise of | | U | |  neutral 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| Good Night we wait for tomorrow can we have TWITCAM pleas with Mait  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Bearcat call first timeout of 2nd half 3rd and 7 come from Pitt 9 Gorilla lead 14-7 with 2 22 left in 3Q  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
The a sun is shine over the Etern Citi ! ! It is a perfect day for a love stroll through the stun Imperial. ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Michigan basketbal team to appear on ESPN 's 'Colleg GameDay on Feb 2 at Indiana Trey Burk and the Michigan. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Left over Halloween candi is probabl past it 's expiration right ? That 's what I 'll tell my kid when they see the empti wrapper tomorrow  neutral 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 
ANDi MURRAY CRASH OUT Andi Murray suffer a surpris earli exit from the BNP Pariba Open in Indian Well http://t.co/V7c1Dmjt  negative 1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 
` ` I am a Strang Loop is on the way !  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
` ` I am a Strang Loop is on the way !  negative 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
My tuition is at 330 Hm we go for the 1120 to 1205 one ? Do you mind ?  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
If you brought Nesta he would not even have to dress up !  negative 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 
||T|| ||T|| ||T|| ||T|| yeah which plan lol ? And btww amreen ca n't even come Friday to the MSA event she ha a birthday e-1  negative 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 
| | T | | | | T | | | | T | | | | T | | yeah which plan laugh out loud ? And btww amreen ca n't even come Friday to the MSA event she ha a birthday e-1  neutral 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 
Yo Artifici Intellig ren ! Haven send me e photo of your hol. Me want to see.  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Fund receiv from CoE to organis nation seminar on state of youth work in UK 15 &amp 16 Nov at DMU Inbox if you can add valu to it  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Fli Mad William Hill now 5/4 real price is 4/6 about Hurrican Fli win Champion Hurdl next Tuesday  positive 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Nation Women 's Day on 25 Aug but it 's also a date where UMNO Kaum Ibu wa form So is it a date for all women or for UMNO  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
